ACSSF,2010m5,ar,001,0005,0000083,57,109,117,567,307,334,428,216,272,507,315,236,365,142,234,44,44,119,57,567,549,85,85,119,563,418,569,507,365,119,337,111,92,44,119,119,44,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000084,410,283,294,2439,1344,1401,1847,1089,1029,1054,547,668,1284,617,786,296,200,207,410,2439,2309,1714,1717,85,1949,966,1556,1054,1284,187,664,866,554,296,72,31,289,410,2439,2309,2113,1891,932,1115,747,773,444,487,296
ACSSF,2010m5,ar,001,0005,0000085,188,200,156,1212,763,697,910,484,614,620,369,355,574,374,344,154,120,61,188,1212,1148,645,645,119,1078,757,836,620,574,100,256,437,232,154,46,23,146,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000086,43,63,56,195,125,119,179,121,108,70,48,40,61,46,29,17,10,8,43,195,199,155,155,119,171,131,97,70,61,119,45,36,18,17,119,119,17,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000087,72,133,153,740,468,369,661,357,347,373,190,199,125,104,64,14,14,119,72,740,760,345,345,119,669,547,380,373,125,59,119,93,49,14,119,119,14,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000095,298,218,273,487,279,304,477,282,238,128,103,64,131,66,93,199,199,16,298,487,509,474,474,119,198,56,185,128,131,119,67,109,119,199,119,34,198,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000096,165,90,94,161,89,91,13,6,9,10,6,4,6,6,119,119,119,119,165,161,17,8,7,3,16,10,12,9,6,119,6,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000097,253,149,128,254,147,128,51,40,13,119,119,119,11,119,11,119,119,119,253,254,51,119,119,119,51,51,11,119,11,119,119,11,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000098,235,186,208,375,204,247,274,122,189,99,70,48,55,52,18,88,88,119,235,375,297,233,233,119,217,159,113,99,55,119,119,25,48,88,119,119,88,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000100,132,78,71,128,76,69,34,19,16,15,15,119,15,5,12,119,119,119,132,128,38,3,3,119,38,34,21,15,15,119,11,11,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
