GEO_ID,COUNTY,TOTAL,TOTALurban,TOTALinsideurbanizedareas,TOTALurbanclusters,TOTALrural,STATE
22069,Natchitoches Parish,39566,19763,0,19763,19803,Louisiana
51550,Chesapeake city,222209,205261,205261,0,16948,Virginia
46085,Lyman,3755,0,0,0,3755,SouthDakota
27001,Aitkin,16202,0,0,0,16202,Minnesota
55073,Marathon,134063,76429,74632,1797,57634,Wisconsin
45017,Calhoun,15175,0,0,0,15175,SouthCarolina
51810,Virginia Beach city,437994,431273,431273,0,6721,Virginia
53009,Clallam,71404,46089,0,46089,25315,Washington
72035,Cayey Municipio,48119,43712,43712,0,4407,PuertoRico
21197,Powell,12613,4149,0,4149,8464,Kentucky
55065,Lafayette,16836,0,0,0,16836,Wisconsin
20023,Cheyenne,2726,0,0,0,2726,Kansas
13237,Putnam,21218,4043,0,4043,17175,Georgia
19195,Worth,7598,0,0,0,7598,Iowa
45027,Clarendon,34971,4998,0,4998,29973,SouthCarolina
51013,Arlington,207627,207627,207627,0,0,Virginia
55127,Walworth,102228,67269,6731,60538,34959,Wisconsin
18067,Howard,82752,64931,61712,3219,17821,Indiana
27013,Blue Earth,64013,46798,44240,2558,17215,Minnesota
22127,Winn Parish,15313,5376,0,5376,9937,Louisiana
45029,Colleton,38892,9502,0,9502,29390,SouthCarolina
72075,Juana D?az Municipio,50747,47327,47251,76,3420,PuertoRico
54019,Fayette,46039,19395,16137,3258,26644,WestVirginia
8015,Chaffee,17809,11146,0,11146,6663,Colorado
13201,Miller,6125,0,0,0,6125,Georgia
47053,Gibson,49683,25977,0,25977,23706,Tennessee
5059,Hot Spring,32923,11204,18,11186,21719,Arkansas
39099,Mahoning,238823,202621,195160,7461,36202,Ohio
20177,Shawnee,177934,149777,149777,0,28157,Kansas
42111,Somerset,77742,22699,7520,15179,55043,Pennsylvania
45041,Florence,136885,84159,75674,8485,52726,SouthCarolina
1027,Clay,13932,0,0,0,13932,Alabama
48405,San Augustine,8865,0,0,0,8865,Texas
17111,McHenry,308760,278259,230747,47512,30501,Illinois
16055,Kootenai,138494,104917,98378,6539,33577,Idaho
5049,Fulton,12245,867,0,867,11378,Arkansas
19113,Linn,211226,184299,177844,6455,26927,Iowa
36121,Wyoming,42155,15141,0,15141,27014,NewYork
5027,Columbia,24552,10438,0,10438,14114,Arkansas
